,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
18001,45437870,Sun Jun 07 22:21:38 +0000 2009,130,130,0,0,2006,2006,741,741,1498,1498,0,0,1,['RT @jorge_cantu3: Este juego vs 馃嚛馃嚜....me recuerda mucho aquel juego de nosotros 馃嚥馃嚱 del @WBCBaseball 2006 vs el dream team de 馃嚭馃嚫 !! Si tiene鈥?],146,0,2,0,1.53E+12,1.53E+12,1.24E+12,0,0,0,0,0,0,2.60E-09,7.04E-09,146,5.26E-09,0,4.56E-10,0,2,0.162857143,1
18002,45439260,Sun Jun 07 22:29:27 +0000 2009,221,221,0,0,739,739,11809,11809,1634,1634,2,2,1,"[""Let's see what the Germens got this morning #WorldCup #GermanyvsMexico #defendingChamps""]",87,3,0,0,1.53E+12,1.53E+12,1.24E+12,0,0,0,0,0,0,4.15E-08,2.59E-09,87,5.74E-09,7.02E-12,7.76E-10,3,0,0.248571429,1
18003,45440772,Sun Jun 07 22:38:08 +0000 2009,4047,4047,0,0,3,3,28958,28957,1,1,214,214,2,"['2018-06-21 : #WorldCup : #France vs #Peru Football Betting Prediction https://t.co/BJ1YCMMgi2', '2018-06-21 : #WorldCup : #Denmark vs #Australia Football Betting Prediction https://t.co/imcA3J3qq8']",192,6,0,2,1.53E+12,1.53E+12,1.24E+12,1,0,0,0,0,0.002857143,1.02E-07,1.05E-11,96,3.51E-12,7.51E-10,1.42E-08,3,0,0.248571429,1
18004,45442531,Sun Jun 07 22:47:59 +0000 2009,512,512,0,0,2106,2106,5938,5938,1800,1800,0,0,1,"['RT @Corinthians: Hoje come莽a a campanha do Corin... Ops, da Sele莽茫o Brasileira na FIFA World Cup! Boa sorte, Cassio, Fagner, Tite, Renato A鈥?]",140,0,1,0,1.53E+12,1.53E+12,1.24E+12,0,0,0,0,0,0,2.08E-08,7.39E-09,140,6.32E-09,0,1.80E-09,0,1,0.081428571,1
18005,45443505,Sun Jun 07 22:53:35 +0000 2009,910,909,0,0,324,322,22785,22778,66923,66890,81,81,7,"['@guidoolimpio @matteopugliese @silviacarenzi Inoltre, s茅 ci sar脿 un attentato durente i Mondiali #Russia2018 (speri鈥?https://t.co/RDkudSSXqY', '@PeterRNeumann @ShirazMaher Peter, we\'ll see. I would at least wait until we have the ""second round match up"" befor鈥?https://t.co/HGwUZiqqcf', '@PeterRNeumann @MiManske Tough match. #Goodluck \n#Russia2018 \n#GERMEX', 'RT:\n#GER vs #MEX \n#ISPIworldcup (@ispionline):\n#WorldCup2018\n@PeterRNeumann @NathalieTocci @ShirazMaher鈥?https://t.co/nHz6B20iIP', ""RT @Sport_Mediaset: #GermaniaMessico 0-0, 30': #Layun ci prova dal limite, risposta di #Neuer \n#GERMEX #MondialiMediaset #WorldCup\n&gt;https:/鈥?",835,23,19,3,1.53E+12,1.53E+12,1.24E+12,7,2,33,0,1,0.025714286,8.00E-08,1.14E-09,119.2857143,2.35E-07,2.84E-10,3.19E-09,3.285714286,2.714285714,1.819387755,1
18006,45445235,Sun Jun 07 23:02:36 +0000 2009,551,551,0,0,2380,2380,6490,6484,501,501,6,6,3,"['Cracker of a free kick in fairness #Serbia #WorldCup', ""Don't think Jim Beglin actually likes football the negative bastard time to change it up @RTEsoccer over to BBC #WorldCup"", 'Phil Neville is making me reconsider Jim fucking Beglin on Rte boring cunt #WorldCup']",257,4,1,0,1.53E+12,1.53E+12,1.24E+12,6,0,0,0,0,0.017142857,2.28E-08,8.36E-09,85.66666667,1.76E-09,2.11E-11,1.93E-09,1.333333333,0.333333333,0.191904762,1
18007,45448644,Sun Jun 07 23:21:59 +0000 2009,490,490,0,0,411,411,4500,4498,3971,3969,13,13,2,"['RT @FIFAWorldCup: HT | The #WorldCup holders have some work to do after a great half from #MEX!\n\n#GERMEX 0-1 https://t.co/CYqhNRsjsP', 'RT @FIFAWorldCup: A very impressive #WorldCup debut from @HirvingLozano70 馃憦馃憦馃憦\n\n#GERMEX https://t.co/yd67jHVDAz']",245,5,3,2,1.53E+12,1.53E+12,1.24E+12,2,0,2,0,0,0.005714286,1.58E-08,1.44E-09,122.5,1.39E-08,4.56E-11,1.72E-09,2.5,1.5,0.451428571,1
18008,45452475,Sun Jun 07 23:44:13 +0000 2009,368,368,0,0,1199,1198,5898,5897,3749,3748,2,2,2,"['RT @leannedb01: It may very well be a first-time win for Belgium, @GasantAbarder. Another great column, which I鈥檝e really come to look forw鈥?, 'RT @IOL: OPINION: The greatest show on earth is here: the #WorldCup2018 in #Russia. But it feels hollow; #BafanaBafana isn鈥檛 there, writes鈥?]",279,3,3,0,1.53E+12,1.53E+12,1.24E+12,1,1,1,0,0,0.005714286,2.07E-08,4.21E-09,139.5,1.32E-08,7.02E-12,1.29E-09,1.5,1.5,0.368571429,1
18009,45453440,Sun Jun 07 23:49:39 +0000 2009,140,140,0,0,542,542,9614,9614,4062,4062,2,2,1,['Kroos Khedira Draxler y M眉ller temible mediocampo de #ALE\n#WorldCup'],67,2,0,0,1.53E+12,1.53E+12,1.24E+12,0,0,0,0,0,0,3.38E-08,1.90E-09,67,1.43E-08,7.02E-12,4.92E-10,2,0,0.165714286,1
18010,45454726,Sun Jun 07 23:57:15 +0000 2009,78,78,0,0,94,94,682,682,312,312,0,0,1,['RT @RTSportNews: Mexican fans... and Donald Trump in Moscow #WorldCup #MEX #Mexico 馃嚥馃嚱 馃弳鈿金焽佛焽?https://t.co/41F7PbKa92'],119,3,1,1,1.53E+12,1.53E+12,1.24E+12,0,0,0,0,0,0,2.39E-09,3.30E-10,119,1.10E-09,0,2.74E-10,3,1,0.33,1
