 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
255001,728432380793380864,Fri May 06 03:53:08 +0000 2016,272,272,0,0,137,137,26775,26775,17276,17276,2,2,1,131.0,5.0,1.0,1.0,1529254807000.0,1529254807000.0,1462506788000.0,0,0,0,0,0,0.0,4.0113550036593606e-07,2.0524953706865814e-09,131.0,2.588241607589882e-07,2.996343606841725e-11,4.075027305304746e-09,5.0,1.0,0.4957142857142858,1
255002,728442281343123464,Fri May 06 04:32:28 +0000 2016,25,25,0,0,144,144,2348,2348,8454,8454,1,1,1,61.0,0.0,1.0,1.0,1529226041000.0,1529226041000.0,1462509148000.0,0,0,0,0,0,0.0,3.5193485404064007e-08,2.15837389190171e-09,61.0,1.267145339037296e-07,1.4988707582650767e-11,3.7471768956626916e-10,0.0,1.0,0.0814285714285714,1
255003,728443406590976000,Fri May 06 04:36:56 +0000 2016,115,115,0,0,158,158,505,505,1597,1597,0,0,1,75.0,2.0,1.0,0.0,1529250561000.0,1529250561000.0,1462509416000.0,0,0,0,0,0,0.0,7.566546843030637e-09,2.367355249898694e-09,75.0,2.3928267937267185e-08,0.0,1.723075023660442e-09,2.0,1.0,0.2471428571428571,1
255004,728446322047492096,Fri May 06 04:48:31 +0000 2016,1252,1252,0,0,1279,1279,35133,35133,9553,9553,7,7,1,140.0,0.0,1.0,0.0,1529247991000.0,1529247991000.0,1462510111000.0,0,0,0,0,0,0.0,5.264326646276447e-07,1.9164528450708956e-08,140.0,1.431420956134657e-07,1.0488795868253531e-10,1.8759960610076315e-08,0.0,1.0,0.0814285714285714,1
255005,728449195221254150,Fri May 06 04:59:56 +0000 2016,254,254,0,0,228,228,10914,10914,5491,5491,0,0,1,106.0,1.0,1.0,1.0,1529254787000.0,1529254787000.0,1462510796000.0,0,0,0,0,0,0.0,1.635203384826059e-07,3.4160378572507e-09,106.0,8.226957839545435e-08,0.0,3.805586033954727e-09,1.0,1.0,0.1642857142857142,1
255006,728451957816336384,Fri May 06 05:10:55 +0000 2016,62,62,0,0,53,53,8547,8547,185,185,1,1,1,110.0,2.0,1.0,1.0,1529238058000.0,1529238058000.0,1462511455000.0,0,0,0,0,0,0.0,1.2808984146847697e-07,7.942859012319268e-10,110.0,2.772507391092575e-09,1.4986526438338244e-11,9.291646391769711e-10,2.0,1.0,0.2471428571428571,1
255007,728478082919706624,Fri May 06 06:54:44 +0000 2016,25,25,0,0,212,212,366,365,1754,1751,0,0,2,200.0,4.0,4.0,2.0,1529254073000.0,1529250478000.0,1462517684000.0,1,0,3,0,0,0.0028571428571428,5.4842643643784815e-09,3.17667771925748e-09,100.0,2.6282512828196322e-08,0.0,3.7460822161055187e-10,2.0,2.0,0.4914285714285714,1
255008,728489012575506432,Fri May 06 07:38:10 +0000 2016,5,5,0,0,56,56,98,98,423,423,0,0,1,118.0,3.0,1.0,1.0,1529243984000.0,1529243984000.0,1462520290000.0,0,0,0,0,0,0.0,1.468743622018289e-09,8.392820697247368e-10,118.0,6.339577062385065e-09,0.0,7.493589908256579e-11,3.0,1.0,0.3299999999999999,1
255009,728489107471618048,Fri May 06 07:38:32 +0000 2016,1109,1109,0,0,17,17,134,134,23,23,3,3,1,144.0,0.0,1.0,0.0,1529247117000.0,1529247117000.0,1462520312000.0,0,0,0,0,0,0.0,2.0081884633918856e-09,2.547701781915079e-10,144.0,3.446890646120401e-10,4.4959443210266094e-11,1.662000750672837e-08,0.0,1.0,0.0814285714285714,1
255010,728491786885201920,Fri May 06 07:49:11 +0000 2016,257,257,0,0,245,245,1560,1560,4140,4140,0,0,1,121.0,5.0,1.0,1.0,1529228967000.0,1529228967000.0,1462520951000.0,0,0,0,0,0,0.0,2.3385495380345292e-08,3.672722030887562e-09,121.0,6.206150697091637e-08,0.0,3.852610456890218e-09,5.0,1.0,0.4957142857142858,1
