Unnamed: 0,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
28001,70202003,Sun Aug 30 20:09:31 +0000 2009,1326,1326,0,0,1273,1273,32019,32019,920,920,50,50,1,['RT @musaed_alfahhad: The Unforgettable FreeKick..\n\n.\n\n.\n\n#乇賵爻賷丕2018\n#WorldCup https://t.co/noM7botkfp'],101,2,1,1,1529220000000.0,1529220000000.0,1251660000000.0,0,0,0,0,0,0.0,1.15e-07,4.59e-09,101.0,3.31e-09,1.8e-10,4.78e-09,2.0,1.0,0.247142857,1
28002,70205572,Sun Aug 30 20:25:04 +0000 2009,1274,1274,0,0,618,618,19440,19440,18,18,51,51,1,"['GOL DO M脡XICO, PORRA!\n7 A 1 脡 O CARALHO! kkkkkkkkkkkkkkkkkkkk\nCHUPA ALEMANHA!\n#WorldCup #CopaDoMundo #Copa2018 #WorldCupRussia2018']",130,4,0,0,1529250000000.0,1529250000000.0,1251660000000.0,0,0,0,0,0,0.0,7e-08,2.23e-09,130.0,6.48e-11,1.84e-10,4.59e-09,4.0,0.0,0.331428571,1
28003,70212810,Sun Aug 30 20:59:02 +0000 2009,73,73,0,0,113,113,481,481,485,485,2,2,1,['Obejrza艂em wczoraj dwa mecze z  #WorldCup i w obu nie strzelono karnego. I jednego wykonywa艂 Messi 馃檴馃檲'],103,1,0,0,1529230000000.0,1529230000000.0,1251670000000.0,0,0,0,0,0,0.0,1.73e-09,4.07e-10,103.0,1.75e-09,7.21e-12,2.63e-10,1.0,0.0,0.082857143,1
28004,70216146,Sun Aug 30 21:15:32 +0000 2009,564,564,0,0,311,311,6975,6973,10763,10763,176,176,3,"['I think it鈥檚 time to substitute for #Boateng #GERMEX #WorldCup he鈥檚 the weakest link!', 'Germany better be glad Mexico can鈥檛 finish before the net #GerMex #WorldCup didged another bullet', 'Evidently #diemannshaft has the energy of a truck not a Porche &amp; will probably lose to Mexico #GerMex #worldcup']",297,8,0,0,1529250000000.0,1529250000000.0,1251670000000.0,2,0,0,0,0,0.005714286,2.51e-08,1.12e-09,99.0,3.88e-08,6.34e-10,2.03e-09,2.666666667,0.0,0.220952381,1
28005,70217242,Sun Aug 30 21:20:29 +0000 2009,255,255,0,0,2098,2096,66538,66456,6363,6342,6,6,4,"['Lleg贸 el d铆a \n#worldcup2018 #rusia2018 #mexico馃嚥馃嚱鈥?https://t.co/MTMIaAf4ER', '鉁?barbacoa\n鉁?Cerveza\n鉁?playera 馃嚥馃嚱\nSolo falta el triunfo... #NadaNosDetiene #Rusia2018 #WorldCup vengaaa @miseleccionmx', 'Lloremos todoooo lo que tengamos que llorar de felicidad \n#NadaNosDetiene \n@miseleccionmx \n#worldcup \n#Rusia2018', 'No se ha ganado nada, si.\nPero se le gan贸 al campe贸n @DFB_Team \n#NadaNosDetiene \n#Rusia2018 #MEX #worldcup']",413,13,3,1,1529250000000.0,1529230000000.0,1251670000000.0,82,2,21,0,0,0.24,2.4e-07,7.56e-09,103.25,2.29e-08,2.16e-11,9.19e-10,3.25,0.75,0.513571429,-1
28006,70223384,Sun Aug 30 21:48:54 +0000 2009,177,177,0,0,284,284,3879,3879,11349,11349,2,2,1,"[""RT @DFB_Team_EN: It's #WorldCup time, baby! 馃弳 Do us proud, boys 馃嚛馃嚜 (1')\n\n#DieMannschaft #ZSMMN #GERMEX 0-0 https://t.co/95XuaXSUsG""]",133,4,1,1,1529250000000.0,1529250000000.0,1251670000000.0,0,0,0,0,0,0.0,1.4e-08,1.02e-09,133.0,4.09e-08,7.21e-12,6.38e-10,4.0,1.0,0.412857143,-1
28007,70223510,Sun Aug 30 21:49:28 +0000 2009,96,96,0,0,223,223,458,458,3155,3155,0,0,1,['RT @FIFAWorldCup: Wow! \n\n#MEX stun the #WorldCup champions in Moscow! \n\n#GERMEX 0-1 https://t.co/XOtAWcKD8U'],107,3,1,1,1529250000000.0,1529250000000.0,1251670000000.0,0,0,0,0,0,0.0,1.65e-09,8.03e-10,107.0,1.14e-08,0.0,3.46e-10,3.0,1.0,0.33,-1
28008,70226126,Sun Aug 30 22:01:43 +0000 2009,177,177,0,0,193,193,112,109,4364,4361,3,3,2,"['RT @KhaledAJ: Ronaldo carried a non-existent team on his shoulders against the best team in the World Cup. Messi failed to even try to serv鈥?, 'RT @ReyLaMadrid: Our boys shining in the #WorldCup https://t.co/GXpZGiykX8']",214,1,2,1,1529240000000.0,1529240000000.0,1251670000000.0,3,0,3,0,0,0.008571429,4.04e-10,6.95e-10,107.0,1.57e-08,1.08e-11,6.38e-10,0.5,1.0,0.204285714,1
28009,70227263,Sun Aug 30 22:07:20 +0000 2009,389,389,0,0,545,545,16465,16463,18362,18356,8,8,2,"[""RT @BobProcterr: I'm convinced Roy Keane is going to kill Slavan Bilic if he keeps touching his shoulder 馃槀 #CRONGA #WorldCup https://t.co/W鈥?",189,4,1,1,1529250000000.0,1529220000000.0,1251670000000.0,2,0,6,0,0,0.005714286,5.93e-08,1.96e-09,94.5,6.61e-08,2.88e-11,1.4e-09,2.0,0.5,0.247142857,1
28010,70232059,Sun Aug 30 22:29:19 +0000 2009,4965,4965,0,0,610,610,26321,26321,10940,10940,46,46,1,['#kolarov #WorldCup https://t.co/BQozKQxzF5'],42,2,0,1,1529240000000.0,1529240000000.0,1251670000000.0,0,0,0,0,0,0.0,9.48e-08,2.2e-09,42.0,3.94e-08,1.66e-10,1.79e-08,2.0,0.0,0.165714286,1
28011,70233013,Sun Aug 30 22:33:41 +0000 2009,1762,1762,0,0,1744,1744,2524,2524,10549,10549,13,13,1,['Watching the #WorldCup \n#Germany #Mexico https://t.co/EPDP6xCCX9'],64,3,0,1,1529250000000.0,1529250000000.0,1251670000000.0,0,0,0,0,0,0.0,9.09e-09,6.28e-09,64.0,3.8e-08,4.68e-11,6.35e-09,3.0,0.0,0.248571429,1
28012,70240725,Sun Aug 30 23:09:02 +0000 2009,814,814,0,0,705,705,25181,25181,12321,12321,5,5,1,['Who you got?? #WorldCup'],23,1,0,0,1529240000000.0,1529240000000.0,1251670000000.0,0,0,0,0,0,0.0,9.07e-08,2.54e-09,23.0,4.44e-08,1.8e-11,2.93e-09,1.0,0.0,0.082857143,1
28013,70243397,Sun Aug 30 23:22:15 +0000 2009,579,579,0,0,2122,2122,29810,29810,3545,3545,11,11,1,['Sorpresa en RUSIA!! M茅xico le gana x la cuenta m铆nima a Alemania.  馃槻馃槻 #GERMEX #WorldCup #Rusia2018 #Mundialxel13 馃嚛馃嚜鈿斤笍馃嚥馃嚱'],125,4,0,0,1529250000000.0,1529250000000.0,1251670000000.0,0,0,0,0,0,0.0,1.07e-07,7.64e-09,125.0,1.28e-08,3.96e-11,2.09e-09,4.0,0.0,0.331428571,-1
28014,70256148,Mon Aug 31 00:23:22 +0000 2009,429,429,0,0,611,611,10800,10800,3346,3346,11,11,1,['隆 Vamos M茅xico! 馃嚥馃嚱馃嚥馃嚱 #WorldCup2018'],38,1,0,0,1529250000000.0,1529250000000.0,1251680000000.0,0,0,0,0,0,0.0,3.89e-08,2.2e-09,38.0,1.21e-08,3.96e-11,1.55e-09,1.0,0.0,0.082857143,1
