,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
0,0.165714286,0.408571429,6,1,113.3333333,-4.50E-04,-2.32E-05,-1.54E-08,0.666666667,0,0,5,-2.82E-07,-6.92E-05,,-1
1,0,0.081428571,0,0,139,-2.43E-06,-7.84E-08,0,1,0,0,0,0,-1.24E-05,,1
2,0,0,0,0,31,-2.89E-05,-1.19E-06,0,0,0,0,1,0,-2.93E-04,,1
3,0,0.082857143,1,1,88,-1.41E-04,-1.24E-05,0,0,0,0,0,0,-4.01E-05,,1
4,0,0.33,3,3,140,-8.20E-05,-5.00E-06,0,1,0,0,1,0,-2.25E-04,,1
5,0,0.247142857,2,2,135,-2.39E-05,-1.82E-06,0,1,0,0,1,0,-1.63E-05,,1
6,0.031428571,0.066285714,4,0.8,101.8,-1.76E-04,-1.20E-05,0,0,0,0,1,-1.12E-07,-4.09E-05,,1
7,0,0.494285714,4,4,107,-1.92E-05,-8.74E-07,0,2,0,0,1,0,-3.44E-05,,1
8,0,0.164285714,1,1,142,-2.56E-05,-7.99E-07,0,1,0,0,0,0,-4.42E-06,,1
9,0,0.164285714,1,1,134,-4.92E-06,-4.17E-07,0,1,0,0,2,0,-4.44E-07,,1
10,0.037142857,0.357619048,10,3.333333333,100.3333333,-3.99E-05,-7.85E-07,-3.72E-09,0.333333333,0,0,3,-4.47E-08,-1.12E-05,,-1
11,0.085714286,0.375428571,3,0.6,109.8,-3.06E-06,-1.80E-07,-3.76E-09,0.8,0,0,2,-1.09E-07,-1.09E-05,,1
12,0,0.495714286,5,5,140,-2.93E-05,-1.02E-06,0,1,0,0,1,0,-1.45E-04,,1
13,0,0.411428571,6,3,140,-1.69E-05,-8.06E-07,0,1,0,0,0,0,-1.27E-04,,1
14,0,0,0,0,133,-2.01E-05,-5.07E-06,0,0,0,0,2,0,-3.04E-04,,1
15,0,0.247142857,2,2,140,-3.88E-05,-3.12E-06,0,1,0,0,0,0,-9.20E-05,,1
16,0.002857143,0.124285714,3,1.5,132.5,-1.80E-05,-1.58E-06,0,0,0,0,1,-1.04E-08,-7.30E-08,,1
17,0.091428571,0.207142857,5,2.5,45,-2.38E-06,-3.87E-07,0,0,0,0,0,-1.85E-07,-1.04E-07,,1
