Unnamed: 0,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
10001,27044480,Fri Mar 27 16:54:38 +0000 2009,251,251,0,0,631,631,7060,7060,1221,1221,1,1,1,['RT @TheRedmenTV: Possibly my favourite photo from the #WorldCup so far 馃嚙馃嚪 https://t.co/2TnzE5NU4b'],99,1,1,1,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,2.43e-08,2.17e-09,99.0,4.19e-09,3.44e-12,8.62e-10,1.0,1.0,0.164285714,1
10002,27046884,Fri Mar 27 17:06:26 +0000 2009,129,129,0,0,1011,1011,10917,10911,2018,2002,1,1,6,"['Emocionante. 驴C贸mo evitar llorar si este regreso fue lo m谩ximo? #Per煤 #ArribaPer煤 #WorldCup2018 #Rusia2018鈥?https://t.co/hgPppyfx2V', '@TuFPF @SeleccionPeru A tomarlo como una oportunidad m谩s para aprender y mejorar. No se les puede reprochar nada ch鈥?https://t.co/EkukpNnkTx', '#Per煤 #EstamosDeVuelta #ContigoPer煤 #WorldCup2018 #Rusia2018 https://t.co/TIDbvXBDBy', '#Per煤 #EstamosDeVuelta #ContigoPer煤 #WorldCup2018 #Rusia2018 https://t.co/uwK2BDTcLM', '@Cuevachris10 Vamos Cuevita, a mantener la frente bien en alto. A sacudirse y seguir pa鈥檒ante! #ContigoCrack #Per煤鈥?https://t.co/KHZMa3RfD8', '#ChristianCueva #Per煤 #EstamosDeVuelta #ContigoPer煤 #WorldCup2018 #Rusia2018 https://t.co/ulTlqejSY3']",678,22,3,6,1530000000000.0,1530000000000.0,1240000000000.0,6,0,16,0,0,0.017142857,3.75e-08,3.47e-09,113.0,6.93e-09,3.44e-12,4.43e-10,3.666666667,0.5,0.548095238,1
10003,27046984,Fri Mar 27 17:06:54 +0000 2009,1086,1085,0,0,220,220,109588,109584,781,780,36,36,3,"['Two decent teams here, both creating chances. #WorldCup', 'Loving Boateng. What a block #GERMEX #WorldCup', ""RT @BBCMOTD: When no one's seen you for days because you've just been watching football.....\n\n馃槀 \n\nLive: https://t.co/ahz0tZdZNX\n#GERMEX\n#bb鈥?]""",242,5,1,1,1530000000000.0,1530000000000.0,1240000000000.0,4,0,1,0,1,0.011428571,3.76e-07,7.56e-10,80.66666667,2.68e-09,1.24e-10,3.73e-09,1.666666667,0.333333333,0.21952381,1
10004,27047369,Fri Mar 27 17:08:43 +0000 2009,14782,14782,0,0,1486,1486,5868,5868,9968,9968,571,571,1,['Last world cup champion to win its opening match was Brasil in 2006\n2010 -&gt; Paraguay 1 馃嚨馃嚲 - 馃嚠馃嚬 Italy 1\n2014 -&gt; Chil鈥?https://t.co/kVnUZPuKn1'],150,0,0,1,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,2.02e-08,5.11e-09,150.0,3.42e-08,1.96e-09,5.08e-08,0.0,0.0,0.0,1
10005,27047731,Fri Mar 27 17:10:25 +0000 2009,637,637,0,0,404,404,45648,45648,631,631,22,22,1,['RT @OCmayra: The streets of Moscow turned into a huge party last night. La Chona went worldwide getting people from all over the world danc鈥?],140,0,1,0,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,1.57e-07,1.39e-09,140.0,2.17e-09,7.56e-11,2.19e-09,0.0,1.0,0.081428571,1
10006,27048429,Fri Mar 27 17:13:36 +0000 2009,1622,1621,0,0,2972,2971,120799,120784,15763,15752,72,72,3,"['RT @_Creat1ve: Last chance for #FreebieFriday\n\nTo celebrate the #WorldCup we have a sports bundle including an Aqua Flavour water bottle, S鈥?, '@_Creat1ve Last chance for #FreebieFriday\n\nTo celebrate the #WorldCup\u2060 \u2060 we have a sports bundle including an Aqua鈥?https://t.co/qoe0EFqGpf', 'RT @PayStreamLtd: 鈿?馃弳 Fancy winning our Ultimate World Cup Hamper? All you need to do is guess where the ball is! Be sure to RT &amp; follow! F鈥?]",424,4,3,1,1530000000000.0,1530000000000.0,1240000000000.0,15,1,11,0,1,0.045714286,4.15e-07,1.02e-08,141.3333333,5.42e-08,2.47e-10,5.57e-09,1.333333333,1.0,0.354761905,1
10007,27049041,Fri Mar 27 17:16:23 +0000 2009,386,386,0,0,622,622,5626,5626,4216,4216,6,6,1,"['Landon Donovan鈥檚 ridiculous marketing campaign did not make me want to cheer for Mexico, but Donald Trump鈥檚 racist鈥?https://t.co/z5O0FYbQ7j']",139,0,0,1,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,1.93e-08,2.14e-09,139.0,1.45e-08,2.06e-11,1.33e-09,0.0,0.0,0.0,1
10008,27052554,Fri Mar 27 17:33:06 +0000 2009,520,520,0,0,399,399,38298,38298,1128,1128,21,21,1,['RT @Alissonbecker: Que Deus nos aben莽oe!!! 馃嚙馃嚪X馃嚚馃嚟\n #AB1 #Deusnocontrole #Worldcup2018 https://t.co/qXHu70Flgt'],112,3,1,1,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,1.32e-07,1.37e-09,112.0,3.88e-09,7.21e-11,1.79e-09,3.0,1.0,0.33,1
10009,27053349,Fri Mar 27 17:36:59 +0000 2009,682,682,0,0,598,598,3890,3890,692,692,30,30,1,"['Mexico, Mexiiico!! #GERMEX #Worldcup2018 https://t.co/82nSJm7byG']",64,2,0,1,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,1.34e-08,2.05e-09,64.0,2.38e-09,1.03e-10,2.34e-09,2.0,0.0,0.165714286,1
10010,27054818,Fri Mar 27 17:44:10 +0000 2009,143,143,0,0,720,720,2175,2175,498,498,3,3,1,['Is it totally wrong to watch #WorldCup while sitting in church?'],63,1,0,0,1530000000000.0,1530000000000.0,1240000000000.0,0,0,0,0,0,0.0,7.47e-09,2.47e-09,63.0,1.71e-09,1.03e-11,4.91e-10,1.0,0.0,0.082857143,1
