,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
6001,20630125,Wed Feb 11 21:29:21 +0000 2009,4019,4019,0,0,4972,4972,28717,28717,29681,29681,203,203,1,"[""RT @aarondbrinker: If you're looking for things to do between #WorldCup games, head over to https://t.co/VvQYdyTxkb to check out my book an鈥?]""",140,1,1,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,9.74E-08,1.69E-08,140,1.01E-07,6.88E-10,1.36E-08,1,1,0.164285714,1
6002,20631817,Wed Feb 11 21:47:55 +0000 2009,1041,1041,0,0,860,860,32402,32402,73719,73719,31,31,1,"[""RT @BrazilStat: South Korea's manager has admitted that his players have exchanged shirts during training sessions and friendlies in order鈥?]""",139,0,1,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.10E-07,2.92E-09,139,2.50E-07,1.05E-10,3.53E-09,0,1,0.081428571,1
6003,20632625,Wed Feb 11 21:56:55 +0000 2009,398,398,0,0,386,386,6939,6939,3369,3369,21,21,1,"[""RT @BobProcterr: I'm convinced Roy Keane is going to kill Slavan Bilic if he keeps touching his shoulder 馃槀 #CRONGA #WorldCup https://t.co/W鈥?]""",141,2,1,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.35E-08,1.31E-09,141,1.14E-08,7.12E-11,1.35E-09,2,1,0.247142857,1
6004,20634093,Wed Feb 11 22:13:58 +0000 2009,241,241,0,0,391,391,3277,3277,542,542,1,1,1,['78th https://t.co/QQibRQnsqc'],28,0,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.11E-08,1.33E-09,28,1.84E-09,3.39E-12,8.17E-10,0,0,0,1
6005,20634268,Wed Feb 11 22:16:15 +0000 2009,12532,12532,0,0,1967,1967,10878,10878,11302,11302,63,63,1,"['RT @AlexStone7: #WorldCup stat, looking at data for Actual Playing Time at games so far.\nHIGHEST time ball in play: #EGY v #URU 64mins, 17鈥?]",139,3,1,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,3.69E-08,6.67E-09,139,3.83E-08,2.14E-10,4.25E-08,3,1,0.33,-1
6006,20634939,Wed Feb 11 22:24:11 +0000 2009,3999,3994,0,0,3227,3224,277908,277892,215186,215176,231,231,2,"['RT @FaranakAzad1: R.I.P #RezaShahTheGreat standing with HIM #RezaPahlavi \n#WorldCup \n#IranRegimeChange https://t.co/y7sW18ORQK', 'RT @cfpierce: #Urgent #Iran\nBe aware\nBrutal mullahs regime is planning to start new round of political executions by exploiting the opportu鈥?]",266,6,2,1,1.53E+12,1.53E+12,1.23E+12,16,3,10,0,5,0.054285714,9.43E-07,1.09E-08,133,7.30E-07,7.83E-10,1.36E-08,3,1,0.411428571,-1
6007,20636792,Wed Feb 11 22:47:44 +0000 2009,7790,7790,0,0,4514,4514,95778,95778,2094,2094,256,256,1,"['What next, Patrice? Dogs driving cars? What a crazy world we live in! https://t.co/1mbuQHi2Cy']",93,0,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,3.25E-07,1.53E-08,93,7.10E-09,8.68E-10,2.64E-08,0,0,0,1
6008,20636819,Wed Feb 11 22:48:17 +0000 2009,435,435,0,0,446,446,3444,3444,4055,4055,0,0,1,['See below https://t.co/isTMrz8OK2'],33,0,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.17E-08,1.51E-09,33,1.38E-08,0,1.48E-09,0,0,0,1
6009,20637212,Wed Feb 11 22:53:28 +0000 2009,293,293,0,0,1089,1089,33768,33768,1396,1396,10,10,1,['Busco Stream para el Alemania-Mexico por favor #WorldCup'],56,1,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.15E-07,3.69E-09,56,4.73E-09,3.39E-11,9.94E-10,1,0,0.082857143,1
6010,20637450,Wed Feb 11 22:56:29 +0000 2009,963,963,0,0,1617,1617,21879,21879,442,442,57,57,1,"['As #WorldCup is on, it seems appropriate to pick #AlbionintheCommunity as my 3rd #promoting50for50 charity. They us鈥?https://t.co/LgytBsQzhC']",140,3,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,7.42E-08,5.48E-09,140,1.50E-09,1.93E-10,3.27E-09,3,0,0.248571429,1
6011,20638034,Wed Feb 11 23:04:26 +0000 2009,624,624,0,0,183,183,4806,4806,6845,6845,0,0,1,['I hope Germany beats Mexico by 8. #WorldCup #GERMEX'],51,2,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.63E-08,6.21E-10,51,2.32E-08,0,2.12E-09,2,0,0.165714286,1
