,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
2000,15207848,Mon Jun 23 14:58:23 +0000 2008,1799,1798,0,0,5001,5001,65785,65783,92041,92039,162,162,3,"['馃ぃ馃槤馃お馃槀\nhttps://t.co/CI9dlK17My\n\n#WorldCup #WC2018 #Trump #Mexico\n#Germany\n#GERMEX #MEXGER', ""RT @STsportsdesk: Luchadores flying in for #MEXGER. @reymysterio you're missing out on the #WorldCup siesta! https://t.co/dAh871Bl8D"", 'RT @nigel_ux: My father just sent me a picture of the new family pet watching the #PeruDanimarca #WorldCup game from #Japan lol https://t.c鈥?]",363,12,3,3,1.53E+12,1.53E+12,1.21E+12,2,0,2,0,1,0.005714286,2.09E-07,1.59E-08,121,2.92E-07,5.14E-10,5.71E-09,4,1,0.575714286,1
2001,15208935,Mon Jun 23 16:51:23 +0000 2008,1747,1747,0,0,1075,1075,98780,98780,539,539,56,56,1,"[""The latest World's Astro Report! https://t.co/5I3NLyhROS Thanks to @lajornadaonline @VAMPIRELLA_X #worldcup #rusia2018""]",118,2,2,1,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,3.14E-07,3.41E-09,118,1.71E-09,1.78E-10,5.55E-09,2,2,0.328571429,1
2002,15211637,Mon Jun 23 20:38:34 +0000 2008,124,124,0,0,414,414,739,737,75,75,4,4,3,"[""Thoroughly enjoyed the Costa Rica  Serbia match. It's nice to like Serbia again after the qualifiers. Hopefully the鈥?https://t.co/FW5Gm4GsWK"", ""Germany will punish Mexico's wastefulness if/when they kick into gear. #WorldCup #GERMEX"", 'Ouch #WorldCup']",242,3,0,1,1.53E+12,1.53E+12,1.21E+12,2,0,0,0,0,0.005714286,2.35E-09,1.31E-09,80.66666667,2.38E-10,1.27E-11,3.94E-10,1,0,0.082857143,1
2003,15213347,Mon Jun 23 23:35:51 +0000 2008,172,172,0,0,701,701,5214,5214,11219,11219,8,8,1,"['RT @FCBayernSquad: Morning, Squad. RETWEET if you will be watching Germany vs Mexico today! #WorldCup #GER #MEX https://t.co/7oiMPrrOGd']",135,3,1,1,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,1.66E-08,2.23E-09,135,3.56E-08,2.54E-11,5.46E-10,3,1,0.33,1
2004,15214040,Tue Jun 24 01:00:36 +0000 2008,392,392,0,0,197,197,11523,11523,21057,21057,16,16,1,['RT @DFB_Team_EN: 馃尅锔?Who else has #WorldCup fever? 馃檶馃弳\n\nTweet us your fan pictures from across the globe showing your support for Germany usi鈥?],143,1,1,0,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,3.66E-08,6.25E-10,143,6.69E-08,5.08E-11,1.24E-09,1,1,0.164285714,1
2005,15215912,Tue Jun 24 04:39:41 +0000 2008,32,32,0,0,163,163,1652,1652,2575,2575,0,0,1,['RT @edavidlink: @fifaworldcup_es @miseleccionmx Una imagen que resume la #Haza帽aAzteca #GER 0 - 1 #MEX #WorldCup \n\n馃槀馃槀馃槀 https://t.co/eCb3lQD鈥?],143,4,3,1,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,5.24E-09,5.18E-10,143,8.18E-09,0,1.02E-10,4,3,0.575714286,1
2006,15216147,Tue Jun 24 05:09:30 +0000 2008,885,885,0,0,119,119,48823,48821,7865,7865,30,30,3,"['Costa Rica 0-1 Serbia. Kolarov freekick in 60th min #WorldCup2018 #CRCSRB', 'RT @EricPaulsen101: Can the new Sport Minister study how Iceland, population 330,000, got to #worldcup2018? \n\nThe n鈥?https://t.co/wkwPiplMNV', 'FT Costa Rica 0-1 Serbia. Kolarov superb freekick in 2nd half seals win. #WorldCup2018 #CRCSRB']",307,5,1,1,1.53E+12,1.53E+12,1.21E+12,2,0,0,0,0,0.005714286,1.55E-07,3.78E-10,102.3333333,2.50E-08,9.53E-11,2.81E-09,1.666666667,0.333333333,0.21952381,1
2007,15218140,Tue Jun 24 10:36:09 +0000 2008,188,188,0,0,84,84,3518,3509,36969,36951,5,5,2,"[""RT @Eurosport_UK: Mexico lead Germany 1-0 at half-time and it's safe to say that the fans are absolutely loving it! 馃嚥馃嚱\n\n#WorldCup https://t鈥? 'RT @Eurosport_UK: Germany are in trouble here 馃嚛馃嚜\n \nMaybe they should bring on Leroy Sane... 馃槒\n\n#WorldCup https://t.co/iYpz8jKiLp']""",273,2,2,2,1.53E+12,1.53E+12,1.21E+12,9,0,18,0,0,0.025714286,1.12E-08,2.67E-10,136.5,1.17E-07,1.59E-11,5.97E-10,1,1,0.245714286,1
2008,15218273,Tue Jun 24 10:54:44 +0000 2008,269,269,0,0,518,518,2870,2870,10,10,67,67,1,"[""The latest That's Interesting! https://t.co/2uefjIutqG #wine #worldcup""]",70,2,0,1,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,9.11E-09,1.64E-09,70,3.18E-11,2.13E-10,8.54E-10,2,0,0.165714286,1
2009,15219073,Tue Jun 24 12:45:12 +0000 2008,155,155,0,0,231,231,3627,3627,429,429,24,24,1,"[""With #pride in full swing in the UK, a timely reminder of what it's like to be #LGBT in #Russia https://t.co/m2TNL5sURO""]",119,3,0,1,1.53E+12,1.53E+12,1.21E+12,0,0,0,0,0,0,1.15E-08,7.34E-10,119,1.36E-09,7.62E-11,4.92E-10,3,0,0.248571429,1
